1A 1B 1C 1D 1E 1F
2A 2B 2C XX XX 2F
XX 3B 3C 3D 3E XX
4A 4B 4C 4D XX 4F
5A 5B 5C XX 5E XX
6A 6B 6C 6D XX 6F
7A XX 7C XX 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B XX 14D 14E XX
15A 15B 15C 15D XX 15F
XX 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A XX 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
XX XX 23C 23D XX 23F
24A 24B 24C XX 24E 24F
XX 25B 25C 25D 25E 25F
26A XX 26C 26D 26E 26F
27A 27B XX 27D 27E XX
28A 28B 28C 28D 28E 28F
XX 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
