1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C XX 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D XX 9F
XX XX XX 10D XX 10F
XX XX 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B XX 16D XX 16F
17A 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
19A XX XX 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A XX 21C 21D 21E XX
22A 22B 22C XX 22E XX
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D XX 28F
29A 29B XX 29D 29E 29F
30A XX 30C 30D XX 30F
