1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
XX 5B 5C 5D 5E XX
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E XX
10A 10B 10C 10D 10E 10F
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E XX
15A 15B 15C 15D 15E 15F
16A 16B 16C XX 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E XX
22A 22B 22C 22D XX 22F
XX 23B 23C XX XX 23F
XX 24B 24C 24D 24E XX
25A 25B 25C 25D 25E 25F
XX 26B 26C 26D 26E XX
27A 27B XX 27D XX 27F
XX 28B 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
