1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B XX XX XX 3F
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E XX
XX 6B 6C XX 6E 6F
7A 7B 7C 7D 7E 7F
8A XX 8C XX 8E 8F
9A 9B XX 9D 9E 9F
10A XX 10C XX 10E 10F
11A 11B 11C 11D 11E 11F
XX 12B 12C 12D XX XX
13A 13B XX 13D 13E 13F
14A 14B 14C XX 14E 14F
15A 15B XX 15D 15E 15F
XX 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
20A 20B 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C XX XX 22F
23A 23B XX 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C XX 26E 26F
27A 27B 27C XX 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
