1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
7A XX 7C XX 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A XX 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
XX 14B 14C XX XX 14F
15A 15B 15C 15D XX 15F
16A 16B 16C XX 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
20A 20B 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
XX 27B 27C 27D XX 27F
28A 28B 28C 28D 28E XX
XX 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
