1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E XX
3A 3B 3C 3D 3E 3F
XX 4B 4C XX 4E 4F
5A 5B 5C 5D 5E XX
6A XX 6C XX 6E 6F
7A 7B 7C XX XX 7F
8A 8B XX 8D 8E 8F
9A XX 9C 9D 9E 9F
10A 10B 10C 10D XX 10F
11A XX 11C 11D 11E 11F
XX 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E XX
14A 14B 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
16A XX 16C 16D 16E 16F
17A 17B XX 17D XX XX
18A 18B 18C 18D XX 18F
19A 19B 19C 19D XX 19F
20A 20B XX 20D 20E 20F
21A 21B XX 21D XX 21F
22A 22B 22C XX 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A XX 26C 26D 26E 26F
27A 27B 27C 27D 27E XX
28A 28B 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
30A 30B 30C 30D XX 30F
