1A 1B 1C 1D 1E 1F
XX 2B 2C XX 2E 2F
3A XX XX XX 3E 3F
4A 4B 4C 4D XX 4F
XX 5B XX 5D 5E 5F
6A 6B 6C 6D 6E XX
7A 7B 7C 7D 7E XX
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D XX 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX 12E 12F
XX 13B 13C 13D 13E 13F
14A XX 14C 14D 14E XX
15A 15B 15C 15D 15E 15F
16A 16B XX 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
XX 19B 19C 19D 19E 19F
20A XX XX XX 20E 20F
21A 21B 21C XX 21E 21F
22A XX 22C 22D 22E XX
23A 23B XX 23D 23E 23F
XX XX 24C 24D 24E XX
25A XX 25C XX 25E 25F
26A 26B 26C XX 26E XX
27A 27B 27C 27D XX XX
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
