1 A 1 B XX XX 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B XX XX 3 E 3 F 
4 A 4 B XX 4 D 4 E 4 F 
5 A 5 B 5 C XX 5 E 5 F 
6 A 6 B 6 C XX 6 E 6 F 
7 A 7 B 7 C 7 D XX 7 F 
XX 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E XX 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
XX 12B 12C XX XX 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E XX 
15A XX 15C 15D 15E XX 
16A 16B 16C 16D 16E 16F 
XX 17B 17C XX 17E 17F 
18A 18B 18C 18D 18E 18F 
XX 19B 19C 19D 19E 19F 
20A 20B 20C 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
22A XX 22C XX 22E XX 
23A 23B 23C 23D 23E 23F 
24A XX 24C 24D 24E 24F 
25A XX 25C 25D 25E 25F 
26A 26B 26C XX 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E XX 
29A XX 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
