1A 1B 1C 1D 1E 1F
2A 2B XX 2D XX 2F
3A 3B 3C 3D 3E 3F
4A XX 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C XX 6E XX
XX 7B 7C 7D 7E 7F
8A 8B 8C 8D XX 8F
9A 9B 9C 9D 9E 9F
10A XX XX XX XX 10F
XX 11B 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
XX 13B 13C 13D 13E 13F
14A 14B XX 14D XX XX
15A 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
XX XX 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D XX 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E XX
29A 29B XX XX 29E 29F
XX 30B 30C 30D 30E 30F
