1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
3A 3B XX 3D XX 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D 5E XX
XX 6B 6C 6D 6E 6F
7A 7B XX XX 7E XX
8A 8B XX 8D 8E XX
9A 9B 9C 9D XX 9F
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX XX 12D 12E 12F
13A XX 13C 13D 13E XX
14A 14B 14C XX 14E 14F
15A XX 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
XX 18B 18C 18D 18E XX
XX 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A XX 22C 22D 22E 22F
23A 23B 23C 23D XX XX
24A 24B 24C 24D 24E 24F
25A 25B XX XX 25E 25F
26A 26B 26C XX 26E 26F
27A XX 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
30A 30B 30C 30D 30E 30F
