1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D XX 5F
6A 6B 6C 6D 6E 6F
7A 7B XX 7D XX 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C XX XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
XX 13B 13C 13D 13E XX
14A 14B 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
XX 19B 19C 19D XX 19F
XX 20B 20C 20D XX 20F
XX 21B 21C 21D 21E 21F
22A 22B 22C XX 22E 22F
23A 23B 23C 23D 23E XX
24A 24B XX 24D 24E XX
25A 25B XX 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D 28E 28F
XX 29B XX 29D 29E XX
30A 30B 30C 30D 30E 30F
