1A 1B 1C 1D 1E 1F
2A XX 2C 2D XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D 5E 5F
6A 6B XX 6D 6E 6F
7A 7B 7C 7D 7E XX
XX 8B XX 8D 8E 8F
9A XX 9C XX 9E 9F
XX 10B 10C 10D 10E 10F
XX 11B 11C XX 11E 11F
12A 12B XX 12D 12E 12F
13A XX XX 13D 13E 13F
14A 14B XX XX 14E 14F
15A 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E 16F
17A 17B 17C XX 17E XX
18A 18B XX 18D 18E 18F
19A 19B 19C 19D XX XX
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C XX 25E 25F
26A XX 26C 26D XX 26F
27A 27B XX 27D XX 27F
28A 28B XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A XX 30C 30D XX XX
