1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D XX 6F
7A 7B XX 7D 7E 7F
8A 8B 8C 8D 8E 8F
XX 9B XX 9D 9E XX
10A 10B 10C XX 10E 10F
11A 11B 11C 11D 11E XX
XX 12B 12C 12D 12E 12F
13A 13B 13C XX 13E 13F
14A 14B 14C 14D 14E 14F
15A XX XX 15D 15E 15F
16A 16B XX 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D XX 20F
21A 21B 21C XX 21E XX
22A 22B 22C 22D 22E 22F
23A XX 23C 23D 23E XX
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
29A XX 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
