1A 1B 1C 1D 1E 1F
XX 2B XX XX XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
XX XX 5C 5D 5E XX
6A 6B 6C 6D 6E XX
7A 7B XX 7D 7E 7F
8A 8B XX 8D 8E XX
XX 9B XX 9D 9E 9F
10A 10B 10C 10D 10E XX
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
XX XX 17C 17D 17E 17F
18A 18B XX XX 18E 18F
19A 19B 19C 19D XX 19F
20A 20B 20C 20D 20E XX
21A 21B 21C XX 21E 21F
XX 22B XX 22D 22E XX
XX 23B 23C 23D XX 23F
24A XX 24C 24D 24E 24F
25A 25B 25C 25D XX 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D XX 27F
XX 28B 28C XX 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
