1 A 1 B 1 C 1 D 1 E 1 F 
2 A XX XX 2 D 2 E XX 
3 A 3 B 3 C 3 D XX 3 F 
4 A 4 B 4 C XX 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
XX 6 B 6 C 6 D 6 E XX 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C XX 8 E 8 F 
9 A XX 9 C 9 D XX 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E 11F 
12A 12B XX 12D 12E 12F 
13A 13B XX XX 13E 13F 
XX XX 14C 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E XX 
18A 18B 18C 18D 18E 18F 
XX 19B 19C 19D XX 19F 
20A 20B 20C 20D 20E 20F 
XX 21B 21C XX XX 21F 
22A 22B 22C 22D 22E 22F 
XX 23B XX 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
XX 28B XX 28D 28E 28F 
29A XX 29C 29D XX 29F 
30A 30B 30C 30D 30E XX 
