1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A XX XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
XX XX 5C 5D 5E 5F
6A 6B 6C XX 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
XX 9B 9C 9D 9E XX
XX 10B 10C 10D 10E 10F
XX 11B 11C 11D 11E 11F
12A 12B XX XX 12E XX
13A XX 13C XX 13E XX
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C XX XX 16F
17A 17B 17C XX 17E 17F
18A 18B XX 18D 18E 18F
19A 19B XX XX 19E 19F
20A 20B 20C XX 20E 20F
XX 21B 21C 21D 21E XX
22A 22B 22C 22D 22E 22F
23A 23B XX 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A XX XX 25D 25E 25F
26A 26B 26C 26D XX 26F
27A 27B 27C 27D 27E XX
28A XX 28C XX 28E XX
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
