1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D 5E 5F
XX 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E XX
XX XX 9C XX 9E 9F
XX 10B 10C 10D XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B XX 13D 13E 13F
14A 14B 14C 14D XX 14F
15A 15B XX 15D 15E XX
16A 16B 16C XX XX 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C XX 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B XX 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
