1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E XX
3A XX 3C 3D 3E 3F
4A XX 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E XX
XX XX 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D XX XX
11A 11B 11C XX XX 11F
12A 12B 12C 12D 12E XX
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A XX 16C 16D 16E 16F
17A 17B 17C XX 17E 17F
18A 18B 18C 18D 18E XX
19A 19B 19C XX 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D XX 21F
22A 22B 22C XX 22E 22F
23A 23B XX 23D 23E 23F
24A 24B XX 24D 24E 24F
25A XX 25C XX XX XX
26A 26B 26C 26D 26E 26F
XX XX 27C 27D XX 27F
XX 28B 28C 28D 28E XX
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E XX
