1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E XX
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
XX XX 8C 8D 8E 8F
XX 9B 9C 9D 9E 9F
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E XX
12A XX 12C 12D XX 12F
13A 13B 13C 13D XX 13F
XX 14B XX 14D 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C 16D XX 16F
17A 17B 17C 17D 17E 17F
XX 18B 18C 18D 18E XX
19A 19B XX 19D XX 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B 22C XX 22E 22F
23A 23B 23C 23D 23E XX
XX 24B 24C 24D 24E XX
25A 25B 25C 25D XX 25F
26A 26B 26C 26D 26E XX
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D XX 28F
XX 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
