1A 1B 1C 1D 1E 1F
2A XX 2C XX XX 2F
3A 3B 3C 3D 3E 3F
4A 4B XX 4D 4E 4F
5A 5B 5C 5D XX 5F
6A 6B XX 6D 6E 6F
7A 7B 7C 7D XX 7F
8A 8B 8C 8D 8E XX
9A 9B XX 9D XX 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B XX 13D 13E 13F
14A 14B 14C 14D XX 14F
15A 15B 15C XX 15E 15F
16A 16B 16C XX XX 16F
17A 17B 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
XX 20B 20C 20D 20E 20F
21A XX 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D XX XX
25A 25B 25C 25D XX 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D XX 27F
28A 28B 28C 28D XX 28F
29A 29B 29C 29D 29E XX
30A 30B 30C 30D 30E 30F
