1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX XX 3D XX XX
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B XX 6D 6E 6F
7A XX 7C 7D 7E XX
8A XX 8C 8D XX 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C XX 10E 10F
XX XX XX 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D XX XX
14A XX 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B XX 16D 16E 16F
17A 17B 17C XX 17E 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D XX 19F
20A 20B 20C 20D XX 20F
21A 21B 21C 21D XX 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D XX 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
29A 29B 29C 29D 29E 29F
XX XX XX 30D 30E 30F
