1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
4A XX 4C 4D 4E XX
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C 7D XX 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C 10D 10E XX
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A XX 13C XX XX 13F
XX 14B 14C 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A 16B 16C 16D XX 16F
17A 17B 17C 17D XX 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E XX
XX 20B 20C 20D 20E 20F
XX 21B 21C XX 21E 21F
22A 22B XX 22D 22E 22F
23A XX 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A XX 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A XX 29C 29D 29E XX
30A XX XX 30D 30E 30F
