1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C XX 6E 6F
7A XX 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D XX 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C XX XX 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E XX
14A XX 14C 14D 14E 14F
15A XX XX 15D 15E 15F
16A 16B 16C 16D 16E XX
XX XX 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
XX 21B 21C 21D 21E 21F
22A 22B 22C XX XX XX
23A 23B XX 23D 23E 23F
24A XX 24C 24D 24E 24F
25A 25B XX 25D 25E XX
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
