1A 1B 1C 1D 1E 1F
2A XX 2C XX 2E XX
3A 3B 3C 3D 3E 3F
4A XX 4C 4D 4E XX
5A 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B 7C 7D 7E 7F
XX 8B 8C 8D XX 8F
9A XX 9C XX 9E 9F
10A 10B 10C 10D 10E 10F
11A XX 11C 11D 11E XX
12A 12B XX 12D 12E 12F
13A XX 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A XX XX 15D 15E XX
XX 16B 16C XX 16E XX
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C XX 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A XX 25C 25D 25E 25F
26A 26B XX 26D XX XX
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D 30E 30F
