1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C XX 4E 4F
5A 5B 5C 5D XX 5F
6A 6B XX 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E XX
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E XX
XX 12B 12C 12D 12E 12F
13A 13B 13C XX 13E 13F
14A 14B 14C 14D XX 14F
15A 15B XX 15D XX 15F
16A XX XX 16D XX 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
XX 20B 20C 20D 20E 20F
21A 21B 21C 21D XX 21F
22A 22B 22C 22D XX 22F
23A 23B 23C 23D XX 23F
24A 24B 24C 24D XX 24F
25A 25B XX XX 25E XX
26A 26B 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A XX 29C 29D 29E 29F
XX 30B 30C 30D 30E 30F
