1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B XX 5D 5E 5F
6A 6B XX 6D XX XX
7A 7B 7C 7D 7E 7F
XX XX XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D XX 11F
12A XX 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
XX XX XX 14D 14E XX
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B XX XX 19E 19F
XX 20B 20C 20D 20E 20F
21A XX 21C 21D 21E 21F
22A 22B XX 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B XX 25D 25E XX
26A 26B 26C 26D 26E XX
27A 27B 27C 27D XX 27F
28A XX 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
XX 30B 30C XX 30E 30F
