1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A XX XX 9D XX XX
10A 10B XX 10D 10E 10F
XX 11B XX 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E XX
XX 16B XX 16D 16E XX
17A 17B 17C 17D 17E 17F
18A XX 18C 18D XX 18F
19A 19B 19C 19D XX 19F
20A 20B XX 20D 20E XX
21A 21B 21C 21D 21E 21F
22A 22B XX 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D XX XX
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C 29D XX 29F
30A 30B 30C XX 30E 30F
