1A 1B 1C 1D 1E 1F
XX 2B 2C 2D XX 2F
3A 3B XX 3D 3E XX
4A 4B XX 4D XX 4F
5A 5B 5C 5D 5E XX
6A 6B XX 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
XX 9B 9C 9D 9E 9F
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B XX 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B XX 17D 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D XX 19F
20A XX 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX XX 22C 22D 22E 22F
23A XX 23C XX 23E 23F
24A XX 24C 24D 24E 24F
25A 25B XX 25D 25E XX
26A 26B 26C XX XX 26F
XX 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
