1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX 3B 3C 3D 3E 3F
4A XX 4C 4D 4E 4F
5A 5B 5C 5D XX 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E XX
10A 10B 10C 10D XX 10F
11A XX 11C 11D 11E 11F
XX 12B 12C XX XX 12F
13A 13B XX 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B XX 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E XX
18A 18B 18C XX 18E 18F
19A 19B XX 19D XX 19F
XX 20B 20C 20D 20E 20F
21A 21B 21C 21D XX 21F
22A 22B XX 22D 22E 22F
XX 23B 23C XX 23E XX
XX 24B 24C 24D 24E 24F
25A XX 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
XX 30B 30C 30D 30E 30F
